id,mean,min,max,sum,count
1,0.003000000026077032,0.0,0.03799999877810478,0.3262999951839447,107.0
2,0.0,0.0,0.000699999975040555,0.000699999975040555,119.0
3,,,,,
4,0.0,0.0,0.006599999964237213,0.0829,4443.0
6,9.999999747378752e-05,0.0,0.015300000086426735,0.10729999840259552,2058.0
7,0.0,0.0,0.0005000000237487257,0.0010000000474974513,1108.0
8,0.0001,0.0,0.225600004196167,33.6499,275517.0
9,0.0,0.0,0.0,0.0,229.0
10,,,,,
11,,,,,
12,0.0,0.0,0.0008999999845400453,0.0012000000569969416,84.0
14,,,,,
15,0.0,0.0,0.001500000013038516,0.003700000001117587,230.0
16,,,,,
17,0.0,0.0,0.0,0.0,2096.0
18,,,,,
19,0.000699999975040555,0.0,0.01269999984651804,0.07240000367164612,108.0
20,0.00039999998989515007,0.0,0.028999999165534973,0.6104000210762024,1596.0
21,0.0021,0.0,0.05040000006556511,2.3218,1088.0
22,0.0,0.0,0.021199999377131462,0.0474,2454.0
23,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,504.0
25,,,,,
26,0.0,0.0,0.0,0.0,1193.0
27,0.0,0.0,0.0005000000237487257,0.0019000000320374966,67.0
28,0.0010999999940395355,0.0,0.0737999975681305,1.1411000490188599,1069.0
29,,,,,
30,0.0,0.0,0.00019999999494757503,0.0003000000142492354,30.0
31,0.0001,0.0,0.030500000342726707,0.3115,5501.0
33,0.0,0.0,0.0,0.0,1063.0
34,,,,,
35,0.0,0.0,0.0,0.0,32.0
36,0.001500000013038516,0.0,0.04190000146627426,0.3021000027656555,199.0
37,,,,,
38,,,,,
39,0.0,0.0,0.030500000342726707,0.1458,3114.0
41,0.0,0.0,0.0,0.0,297.0
42,0.0,0.0,0.0,0.0,328.0
43,,,,,
44,0.0,0.0,0.0027000000700354576,0.0065,849.0
45,,,,,
46,0.0001,0.0,0.003599999938160181,0.0133,260.0
47,,,,,
48,0.0001,0.0,0.020600000396370888,0.1657,2387.0
49,,,,,
50,0.0,0.0,0.000699999975040555,0.0010000000474974513,174.0
51,0.0,0.0,0.0,0.0,1606.0
52,0.0006000000284984708,0.0,0.06419999897480011,0.8084999918937683,1321.0
53,,,,,
54,0.0,0.0,0.0,0.0,51.0
55,,,,,
56,0.0,0.0,0.001500000013038516,0.002199999988079071,4446.0
57,,,,,
58,0.0010999999940395355,0.0,0.023600000888109207,0.05739999935030937,51.0
59,0.0,0.0,0.0,0.0,186.0
60,,,,,
61,,,,,
62,0.0,0.0,0.00039999998989515007,0.00139999995008111,92.0
63,,,,,
64,0.0,0.0,0.0005000000237487257,0.0020000000949949026,164.0
65,,,,,
66,0.0,0.0,0.0,0.0,17.0
67,0.0,0.0,0.00039999998989515007,0.0013000000035390258,80.0
68,9.999999747378752e-05,0.0,0.015200000256299973,0.03020000085234642,237.0
69,,,,,
70,,,,,
71,,,,,
72,0.0,0.0,0.0,0.0,91.0
73,0.0005,0.0,0.03200000151991844,1.8187,3475.0
74,0.0,0.0,0.0019000000320374966,0.0026000000070780516,205.0
75,9.999999747378752e-05,0.0,0.0006000000284984708,0.0006000000284984708,12.0
76,,,,,
77,,,,,
78,0.00039999998989515007,0.0,0.045499999076128006,0.42669999599456787,1090.0
79,,,,,
80,,,,,
81,0.0006,0.0,0.03200000151991844,0.9634,1551.0
82,,,,,
83,9.999999747378752e-05,0.0,0.009100000374019146,0.06629999727010727,486.0
84,0.0,0.0,0.00019999999494757503,0.0003000000142492354,463.0
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,0.0,0.0,0.0007999999797903001,0.0024999999441206455,851.0
92,,,,,
93,0.0005000000237487257,0.0,0.00860000029206276,0.03150000050663948,63.0
94,,,,,
95,0.0001,0.0,0.05090000107884407,0.957,7892.0
96,0.00039999998989515007,0.0,0.04729999974370003,0.24009999632835388,610.0
97,0.0003000000142492354,0.0,0.00839999970048666,0.1738000065088272,520.0
98,0.0003000000142492354,0.0,0.0031999999191612005,0.04280000180006027,130.0
99,,,,,
100,0.0005,0.0,0.02590000070631504,0.1575,338.0
101,0.0005000000237487257,0.0,0.039000000804662704,0.5182999968528748,1031.0
102,0.0,0.0,0.0007999999797903001,0.00139999995008111,111.0
103,,,,,
104,0.0,0.0,0.023600000888109207,0.1803,3726.0
105,0.0,0.0,0.0003000000142492354,0.000699999975040555,198.0
106,0.0,0.0,0.0,0.0,10.0
107,,,,,
108,0.0006000000284984708,0.0,0.03200000151991844,0.9205999970436096,1421.0
109,,,,,
110,,,,,
111,0.0003,0.0,0.05090000107884407,0.7223,2429.0
112,,,,,
113,0.0,0.0,0.0,0.0,645.0
114,0.0,0.0,0.0,0.0,340.0
115,0.0,0.0,0.0,0.0,6.0
116,,,,,
117,0.0017999999690800905,0.0,0.015799999237060547,0.5685999989509583,314.0
118,0.00019999999494757503,0.0,0.002099999925121665,0.023399999365210533,151.0
119,0.0,0.0,0.011500000022351742,0.0544,1737.0
120,0.0017000000225380063,0.0,0.05090000107884407,0.7175999879837036,429.0
121,0.0,0.0,0.001500000013038516,0.001500000013038516,39.0
122,9.999999747378752e-05,0.0,0.0044999998062849045,0.024000000208616257,372.0
123,0.0,0.0,0.0,0.0,179.0
124,,,,,
125,0.002400000113993883,0.0,0.05460000038146973,1.669700026512146,690.0
126,0.000699999975040555,0.0,0.008799999952316284,0.0860000029206276,117.0
127,0.0,0.0,0.00419999985024333,0.0079,419.0
128,,,,,
129,0.00019999999494757503,0.0,0.003700000001117587,0.2623000144958496,1053.0
130,,,,,
131,0.0,0.0,0.0019000000320374966,0.013700000010430813,843.0
132,0.0,0.0,0.0,0.0,20.0
133,0.0,0.0,0.00039999998989515007,0.0010999999940395355,112.0
134,,,,,
135,0.0001,0.0,0.0008999999845400453,0.0034,43.0
136,0.0,0.0,0.002300000051036477,0.04529999941587448,2766.0
137,,,,,
138,0.0,0.0,0.00930000003427267,0.0443,3117.0
139,0.00039999998989515007,0.0,0.051500000059604645,0.6256999969482422,1431.0
140,0.0,0.0,0.005200000014156103,0.019099999219179153,408.0
141,0.0001,0.0,0.008799999952316284,0.104,1630.0
142,,,,,
143,9.999999747378752e-05,0.0,0.0005000000237487257,0.0008999999845400453,16.0
144,,,,,
145,0.0012,0.0,0.031599998474121094,0.5739,463.0
146,0.0,0.0,0.00019999999494757503,0.0005000000237487257,2334.0
147,0.0,0.0,0.0,0.0,13.0
148,0.0,0.0,0.0,0.0,137.0
149,0.0,0.0,0.0007999999797903001,0.003100000089034438,444.0
150,,,,,
151,0.0,0.0,0.0007999999797903001,0.0023,650.0
152,,,,,
153,0.0012000000569969416,0.0,0.031599998474121094,0.5738999843597412,463.0
154,0.0,0.0,0.0020000000949949026,0.0104,272.0
155,0.0,0.0,0.0038999998942017555,0.01119999960064888,1006.0
156,0.0,0.0,0.0,0.0,182.0
157,0.0004,0.0,0.006399999838322401,0.1834,498.0
158,0.0,0.0,0.0003000000142492354,0.0006000000284984708,47.0
159,,,,,
160,,,,,
161,,,,,
162,0.0,0.0,0.0,0.0,204.0
163,0.0,0.0,0.0003000000142492354,0.0003000000142492354,797.0
164,,,,,
165,0.0002,0.0,0.02590000070631504,0.1635,712.0
166,,,,,
167,,,,,
168,,,,,
169,0.0,0.0,0.0020000000949949026,0.010400000028312206,237.0
170,0.0,0.0,0.004699999932199717,0.0087,713.0
171,0.0003000000142492354,0.0,0.022299999371170998,0.17829999327659607,548.0
173,0.0,0.0,0.0006000000284984708,0.0017000000225380063,137.0
174,,,,,
175,,,,,
177,0.0,0.0,0.0,0.0,35.0
178,,,,,
179,,,,,
180,0.0,0.0,0.006200000178068876,0.013799999840557575,409.0
181,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,436.0
182,,,,,
183,,,,,
184,0.0,0.0,0.015200000256299973,0.0302,966.0
185,,,,,
186,0.0,0.0,0.0017999999690800905,0.0031999999191612005,343.0
187,0.0,0.0,0.0,0.0,536.0
